TEAM YEAR NUMBER NAME SALARY
baystars 2011 48 雄虎 510万円
baystars 2011 49 福田岳洋 780万円
baystars 2011 52 ブランドン 1000万円
baystars 2011 54 小杉陽太 850万円
baystars 2011 56 杉原洋 600万円
baystars 2011 58 阿斗里 720万円
baystars 2011 60 佐藤祥万 700万円
baystars 2011 64 松山傑 520万円
baystars 2011 65 王溢正 600万円
baystars 2011 111 国吉佑樹 250万円
baystars 2011 115 小林公太 250万円
baystars 2011 29 新沼慎二 1100万円
baystars 2011 33 橋本将 7500万円
baystars 2011 36 細山田武史 1300万円
baystars 2011 57 靍岡賢二郎 500万円
baystars 2011 59 黒羽根利規 680万円
baystars 2011 61 武山真吾 2000万円
baystars 2011 116 松下一郎 300万円
baystars 2011 0 稲田直人 1850万円
baystars 2011 0 山崎憲晴 1220万円
baystars 2011 2 渡辺直人 5300万円
baystars 2011 7 石川雄洋 6000万円
baystars 2011 8 筒香嘉智 900万円
baystars 2011 9 一輝 2000万円
baystars 2011 23 藤田一也 3550万円
baystars 2011 42 B.ハーバー 3000万円
baystars 2011 43 北篤 670万円
baystars 2011 51 大原淳也 600万円
baystars 2011 55 喜田剛 1600万円
baystars 2011 62 高森勇気 550万円
baystars 2011 63 梶谷隆幸 660万円
baystars 2011 1 金城龍彦 5000万円
baystars 2011 4 荒波翔 1200万円
baystars 2011 5 森本稀哲 8000万円
baystars 2011 6 松本啓二朗 1140万円
baystars 2011 26 井手正太郎 1100万円
baystars 2011 31 吉村裕基 6400万円
baystars 2011 37 早川大輔 1200万円
baystars 2011 39 内藤雄太 1050万円
baystars 2011 40 桑原義行 720万円
baystars 2011 50 下園辰哉 3200万円
baystars 2012 11 山口俊 10000万円
baystars 2012 18 三浦大輔 15000万円
baystars 2012 3 A.ラミレス 35000万円
baystars 2012 0 藤井秀悟 3500万円
baystars 2012 12 小林寛 1000万円
baystars 2012 13 大沼幸二 2000万円
baystars 2012 14 小林太志 2100万円
baystars 2012 15 山本省吾 6000万円
baystars 2012 16 加賀繁 2700万円
baystars 2012 17 清水直行 5000万円
baystars 2012 19 藤江均 2500万円
baystars 2012 20 須田幸太 1700万円
baystars 2012 21 加賀美希昇 1100万円
baystars 2012 22 高崎健太郎 4000万円
baystars 2012 24 林昌範 2600万円
baystars 2012 27 江尻慎太郎 5000万円
baystars 2012 28 北方悠誠 720万円
baystars 2012 30 菊地和正 1500万円
baystars 2012 34 篠原貴行 1200万円
baystars 2012 35 牛田成樹 3200万円
baystars 2012 38 C.ハミルトン 700万円
baystars 2012 41 大原慎司 2200万円
baystars 2012 45 福山博之 800万円
baystars 2012 46 田中健二朗 700万円
baystars 2012 47 眞下貴之 650万円
baystars 2012 48 安斉雄虎 510万円
baystars 2012 49 福田岳洋 720万円
baystars 2012 52 ブランドン 700万円
baystars 2012 54 小杉陽太 840万円
baystars 2012 58 阿斗里 750万円
baystars 2012 60 佐藤祥万 750万円
baystars 2012 61 ジオ 5500万円
baystars 2012 64 古村徹 450万円
baystars 2012 65 国吉佑樹 1000万円
baystars 2012 66 王溢正 610万円
baystars 2012 67 伊藤拓郎 450万円
baystars 2012 111 冨田康祐 360万円
baystars 2012 115 小林公太 260万円
baystars 2012 118 陳冠宇 600万円
baystars 2012 10 鶴岡一成 4000万円
baystars 2012 29 新沼慎二 1300万円
baystars 2012 32 髙城俊人 480万円
baystars 2012 36 細山田武史 1700万円
baystars 2012 57 靍岡賢二郎 520万円
baystars 2012 59 黒羽根利規 1100万円
baystars 2012 112 西森将司 360万円
baystars 2012 116 松下一郎 310万円
baystars 2012 0 山崎憲晴 1070万円
baystars 2012 2 渡辺直人 6300万円
baystars 2012 7 石川雄洋 5700万円
baystars 2012 9 一輝 1700万円
baystars 2012 23 藤田一也 3900万円
