id,team,hit,opponent,year,score_team,score_opponent
ATL201306182,ATL,7,NYN,2012,1,6
ATL201306190,NYN,6,ATL,2012,3,5
ATL201306190,ATL,7,NYN,2012,5,3
ATL201306200,NYN,9,ATL,2012,4,3
ATL201306200,ATL,13,NYN,2012,3,4
ATL201306280,ARI,4,ATL,2012,0,3
ATL201306280,ATL,11,ARI,2012,3,0
ATL201306290,ARI,10,ATL,2012,5,11
ATL201306290,ATL,11,ARI,2012,11,5
ATL201306300,ARI,8,ATL,2012,2,6
ATL201306300,ATL,10,ARI,2012,6,2
ATL201307020,MIA,12,ATL,2012,3,11
ATL201307020,ATL,17,MIA,2012,11,3
ATL201307030,MIA,9,ATL,2012,6,2
ATL201307030,ATL,10,MIA,2012,3,6
ATL201307040,MIA,10,ATL,2012,4,3
ATL201307040,ATL,7,MIA,2012,3,4
ATL201307110,CIN,11,ATL,2012,5,6
ATL201307110,ATL,11,CIN,2012,6,5
ATL201307120,CIN,10,ATL,2012,4,1
ATL201307120,ATL,4,CIN,2012,2,4
ATL201307130,CIN,7,ATL,2012,2,5
ATL201307130,ATL,11,CIN,2012,5,2
ATL201307140,CIN,11,ATL,2012,8,3
ATL201307140,ATL,9,CIN,2012,4,8
ATL201307260,SLN,4,ATL,2012,1,4
ATL201307260,ATL,8,SLN,2012,4,1
ATL201307270,SLN,2,ATL,2012,0,2
ATL201307270,ATL,9,SLN,2012,2,0
ATL201307280,SLN,8,ATL,2012,2,5
ATL201307280,ATL,12,SLN,2012,5,2
ATL201307290,COL,15,ATL,2012,8,8
ATL201307290,ATL,12,COL,2012,8,8
ATL201307300,COL,7,ATL,2012,3,11
ATL201307300,ATL,14,COL,2012,11,3
ATL201307310,COL,5,ATL,2012,0,9
ATL201307310,ATL,15,COL,2012,9,0
ATL201308010,COL,9,ATL,2012,2,11
ATL201308010,ATL,14,COL,2012,11,2
ATL201308090,MIA,4,ATL,2012,0,5
ATL201308090,ATL,7,MIA,2012,5,0
ATL201308100,MIA,3,ATL,2012,1,0
ATL201308100,ATL,3,MIA,2012,0,1
ATL201308110,MIA,6,ATL,2012,4,9
ATL201308110,ATL,12,MIA,2012,9,4
ATL201308120,PHI,8,ATL,2012,5,0
ATL201308120,ATL,6,PHI,2012,1,5
ATL201308130,PHI,6,ATL,2012,1,3
ATL201308130,ATL,8,PHI,2012,3,1
ATL201308140,PHI,8,ATL,2012,3,6
ATL201308140,ATL,9,PHI,2012,6,2
ATL201308160,WAS,9,ATL,2012,2,2
ATL201308160,ATL,9,WAS,2012,2,2
ATL201308170,WAS,17,ATL,2012,8,7
ATL201308170,ATL,9,WAS,2012,7,8
ATL201308180,WAS,8,ATL,2012,1,2
ATL201308180,ATL,5,WAS,2012,2,1
ATL201308270,CLE,6,ATL,2012,0,2
ATL201308270,ATL,3,CLE,2012,2,0
ATL201308280,CLE,9,ATL,2012,2,2
ATL201308280,ATL,10,CLE,2012,2,2
ATL201308290,CLE,7,ATL,2012,1,3
ATL201308290,ATL,8,CLE,2012,3,1
ATL201308300,MIA,5,ATL,2012,1,2
