id,team,game,teamhit5game,year
TBA201309210,BAL,145,41,2013
TBA201309220,BAL,146,46,2013
TBA201309230,BAL,147,53,2013
TEX201307190,BAL,148,59,2013
TEX201307200,BAL,149,62,2013
TEX201307210,BAL,150,59,2013
TOR201305230,BAL,151,56,2013
TOR201305240,BAL,152,53,2013
TOR201305250,BAL,153,48,2013
TOR201305260,BAL,154,49,2013
TOR201306210,BAL,155,43,2013
TOR201306220,BAL,156,42,2013
TOR201306230,BAL,157,50,2013
TOR201309130,BAL,158,47,2013
ANA201307050,BOS,1,42,2013
ANA201307060,BOS,2,38,2013
ANA201307070,BOS,3,32,2013
BAL201306130,BOS,4,31,2013
BAL201306140,BOS,5,32,2013
BAL201306150,BOS,6,39,2013
BAL201306160,BOS,7,46,2013
BAL201307260,BOS,8,54,2013
BAL201307270,BOS,9,63,2013
BAL201307280,BOS,10,58,2013
BAL201309270,BOS,11,53,2013
BAL201309280,BOS,12,45,2013
BAL201309290,BOS,13,38,2013
BOS201304080,BOS,14,33,2013
BOS201304100,BOS,15,32,2013
BOS201304110,BOS,16,34,2013
BOS201304130,BOS,17,34,2013
BOS201304140,BOS,18,37,2013
BOS201304150,BOS,19,38,2013
BOS201304200,BOS,20,37,2013
BOS201304211,BOS,21,40,2013
BOS201304212,BOS,22,43,2013
BOS201304220,BOS,23,50,2013
BOS201304230,BOS,24,53,2013
BOS201304240,BOS,25,61,2013
BOS201304250,BOS,26,68,2013
BOS201304260,BOS,27,61,2013
BOS201304270,BOS,28,56,2013
BOS201304280,BOS,29,53,2013
BOS201305060,BOS,30,52,2013
BOS201305070,BOS,31,43,2013
BOS201305080,BOS,32,49,2013
BOS201305090,BOS,33,44,2013
BOS201305100,BOS,34,44,2013
BOS201305110,BOS,35,45,2013
BOS201305120,BOS,36,44,2013
BOS201305230,BOS,37,49,2013
BOS201305240,BOS,38,46,2013
BOS201305250,BOS,39,56,2013
BOS201305260,BOS,40,50,2013
BOS201305270,BOS,41,56,2013
BOS201305280,BOS,42,55,2013
BOS201306040,BOS,43,64,2013
BOS201306050,BOS,44,56,2013
BOS201306060,BOS,45,59,2013
BOS201306081,BOS,46,53,2013
BOS201306082,BOS,47,46,2013
BOS201306090,BOS,48,53,2013
BOS201306181,BOS,49,52,2013
BOS201306182,BOS,50,53,2013
BOS201306190,BOS,51,61,2013
BOS201306250,BOS,52,64,2013
BOS201306260,BOS,53,53,2013
BOS201306270,BOS,54,52,2013
BOS201306280,BOS,55,52,2013
BOS201306290,BOS,56,55,2013
BOS201306300,BOS,57,53,2013
BOS201307020,BOS,58,51,2013
BOS201307030,BOS,59,53,2013
BOS201307040,BOS,60,46,2013
BOS201307190,BOS,61,40,2013
BOS201307200,BOS,62,37,2013
BOS201307210,BOS,63,35,2013
BOS201307220,BOS,64,35,2013
BOS201307230,BOS,65,46,2013
BOS201307240,BOS,66,47,2013
BOS201307290,BOS,67,51,2013
BOS201307300,BOS,68,55,2013
BOS201307310,BOS,69,53,2013
BOS201308010,BOS,70,50,2013
BOS201308020,BOS,71,51,2013
BOS201308030,BOS,72,51,2013
BOS201308040,BOS,73,56,2013
BOS201308160,BOS,74,56,2013
BOS201308170,BOS,75,54,2013
BOS201308180,BOS,76,46,2013
BOS201308270,BOS,77,52,2013
BOS201308280,BOS,78,46,2013
BOS201308290,BOS,79,43,2013
BOS201308300,BOS,80,41,2013
BOS201308310,BOS,81,54,2013
BOS201309010,BOS,82,50,2013
BOS201309020,BOS,83,51,2013
BOS201309030,BOS,84,56,2013
BOS201309040,BOS,85,53,2013
BOS201309130,BOS,86,49,2013
BOS201309140,BOS,87,45,2013
BOS201309150,BOS,88,48,2013
BOS201309170,BOS,89,42,2013
BOS201309180,BOS,90,45,2013
BOS201309190,BOS,91,36,2013
BOS201309200,BOS,92,33,2013
BOS201309210,BOS,93,30,2013
BOS201309220,BOS,94,31,2013
CHA201305200,BOS,95,40,2013
CHA201305210,BOS,96,43,2013
CHA201305220,BOS,97,46,2013
CLE201304160,BOS,98,53,2013
CLE201304170,BOS,99,54,2013
CLE201304180,BOS,100,56,2013
COL201309240,BOS,101,57,2013
COL201309250,BOS,102,62,2013
DET201306200,BOS,103,51,2013
DET201306210,BOS,104,59,2013
DET201306220,BOS,105,54,2013
DET201306230,BOS,106,51,2013
HOU201308050,BOS,107,50,2013
HOU201308060,BOS,108,57,2013
HOU201308070,BOS,109,49,2013
KCA201308080,BOS,110,39,2013
KCA201308090,BOS,111,40,2013
KCA201308100,BOS,112,41,2013
KCA201308110,BOS,113,39,2013
LAN201308230,BOS,114,45,2013
LAN201308240,BOS,115,54,2013
LAN201308250,BOS,116,59,2013
MIN201305170,BOS,117,61,2013
MIN201305180,BOS,118,60,2013
MIN201305190,BOS,119,55,2013
NYA201304010,BOS,120,62,2013
NYA201304030,BOS,121,57,2013
NYA201304040,BOS,122,59,2013
NYA201305310,BOS,123,65,2013
NYA201306010,BOS,124,71,2013
NYA201306020,BOS,125,62,2013
NYA201309050,BOS,126,60,2013
NYA201309060,BOS,127,51,2013
NYA201309070,BOS,128,45,2013
NYA201309080,BOS,129,38,2013
OAK201307120,BOS,130,43,2013
OAK201307130,BOS,131,47,2013
OAK201307140,BOS,132,56,2013
PHI201305290,BOS,133,59,2013
PHI201305300,BOS,134,62,2013
SEA201307080,BOS,135,60,2013
SEA201307090,BOS,136,57,2013
SEA201307100,BOS,137,53,2013
SEA201307110,BOS,138,44,2013
SFN201308190,BOS,139,44,2013
SFN201308200,BOS,140,36,2013
SFN201308210,BOS,141,44,2013
TBA201305140,BOS,142,41,2013
TBA201305150,BOS,143,43,2013
